transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,cumulative_portfolio_value,date_obj,date,customer_key,account_type,avg_trade_size_baseline,stock_key,company_name,liquidity_tier,sector,industry,date_key,day,month,month_name,quarter,year,day_of_week,day_name,is_weekend,is_holiday,stock_price
1,2023-01-02,4747,STK002,BUY,15,15.0,2155.99,2023-01-02,2023-01-02,4747,Retail,57.23133521042849,2,STK002 Corp,Low,Consumer,Retail,20230102,2,1,January,1,2023,1,Monday,False,False,143.73284741052294
2,2023-01-02,4747,STK004,BUY,68,41.5,4993.03,2023-01-02,2023-01-02,4747,Retail,57.23133521042849,4,STK004 Corp,Low,Finance,Asset Management,20230102,2,1,January,1,2023,1,Monday,False,False,41.72108686196776
3,2023-01-02,227,STK006,BUY,49,49.0,6694.05,2023-01-02,2023-01-02,227,Retail,91.21464707417776,6,STK006 Corp,High,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,136.61322857985922
5,2023-01-02,3938,STK006,BUY,203,203.0,27732.49,2023-01-02,2023-01-02,3938,Retail,139.96661370427694,6,STK006 Corp,High,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,136.61322857985922
6,2023-01-02,1513,STK006,BUY,114,114.0,15573.91,2023-01-02,2023-01-02,1513,Retail,67.17698562298614,6,STK006 Corp,High,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,136.61322857985922
7,2023-01-02,4167,STK006,BUY,119,119.0,16256.97,2023-01-02,2023-01-02,4167,Retail,158.44618205924544,6,STK006 Corp,High,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,136.61322857985922
8,2023-01-02,1513,STK006,BUY,91,102.5,28005.71,2023-01-02,2023-01-02,1513,Retail,67.17698562298614,6,STK006 Corp,High,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,136.61322857985922
9,2023-01-02,4955,STK006,BUY,339,339.0,46311.88,2023-01-02,2023-01-02,4955,Retail,171.5073063101831,6,STK006 Corp,High,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,136.61322857985922
10,2023-01-02,4747,STK006,SELL,285,217.75,34774.71,2023-01-02,2023-01-02,4747,Retail,57.23133521042849,6,STK006 Corp,High,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,136.61322857985922
11,2023-01-02,4519,STK008,BUY,281,281.0,43441.81,2023-01-02,2023-01-02,4519,Institutional,108.6869726310806,8,STK008 Corp,High,Energy,Oil & Gas,20230102,2,1,January,1,2023,1,Monday,False,False,154.59718014764877
12,2023-01-02,615,STK009,BUY,248,248.0,47280.41,2023-01-02,2023-01-02,615,Retail,71.46733950615928,9,STK009 Corp,High,Technology,Hardware,20230102,2,1,January,1,2023,1,Monday,False,False,190.64681446895423
13,2023-01-02,4747,STK009,BUY,468,267.8,123997.42,2023-01-02,2023-01-02,4747,Retail,57.23133521042849,9,STK009 Corp,High,Technology,Hardware,20230102,2,1,January,1,2023,1,Monday,False,False,190.64681446895423
14,2023-01-02,1157,STK010,BUY,382,382.0,54810.39,2023-01-02,2023-01-02,1157,Retail,109.57514292131978,10,STK010 Corp,High,Consumer,Retail,20230102,2,1,January,1,2023,1,Monday,False,False,143.4826952916133
16,2023-01-02,4023,STK010,BUY,88,88.0,12626.48,2023-01-02,2023-01-02,4023,Retail,85.24882103840045,10,STK010 Corp,High,Consumer,Retail,20230102,2,1,January,1,2023,1,Monday,False,False,143.4826952916133
17,2023-01-02,1109,STK012,BUY,113,113.0,3392.18,2023-01-02,2023-01-02,1109,Institutional,106.64035481258875,12,STK012 Corp,High,Technology,Hardware,20230102,2,1,January,1,2023,1,Monday,False,False,30.01933522766273
18,2023-01-02,3938,STK012,BUY,126,164.5,31514.92,2023-01-02,2023-01-02,3938,Retail,139.96661370427694,12,STK012 Corp,High,Technology,Hardware,20230102,2,1,January,1,2023,1,Monday,False,False,30.01933522766273
