transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,stock_price,total_trade_amount,customer_account_type,is_weekend,is_holiday,stock_liquidity_tier,stock_sector,stock_industry,day_Friday,day_Monday,day_Thursday,day_Tuesday,day_Wednesday
1,2023-01-02,4747,1,0,15,139.4,4.967956350196401,2155.992711157844,1,0,0,Low,0,5,0,1,0,0,0
2,2023-01-02,4747,3,0,68,139.4,3.731006681134751,2837.033906613808,1,0,0,Low,2,0,0,1,0,0,0
3,2023-01-02,227,5,0,49,139.4,4.917153784174474,6694.048200413102,1,0,0,High,1,2,0,1,0,0,0
5,2023-01-02,3938,5,0,203,203.0,4.917153784174474,27732.485401711423,1,0,0,High,1,2,0,1,0,0,0
6,2023-01-02,1513,5,0,114,139.4,4.917153784174474,15573.908058103952,1,0,0,High,1,2,0,1,0,0,0
7,2023-01-02,4167,5,0,119,139.4,4.917153784174474,16256.974201003248,1,0,0,High,1,2,0,1,0,0,0
8,2023-01-02,1513,5,0,91,139.4,4.917153784174474,12431.80380076719,1,0,0,High,1,2,0,1,0,0,0
9,2023-01-02,4955,5,0,339,254.21,4.917153784174474,46311.88448857228,1,0,0,High,1,2,0,1,0,0,0
10,2023-01-02,4747,5,1,285,217.75,4.917153784174474,38934.77014525988,1,0,0,High,1,2,0,1,0,0,0
11,2023-01-02,4519,7,0,281,254.21,5.040822896321057,43441.80762148931,0,0,0,High,1,2,0,1,0,0,0
12,2023-01-02,615,8,0,248,248.0,5.250422577372761,47280.40998830065,1,0,0,High,4,1,0,1,0,0,0
13,2023-01-02,4747,8,0,468,254.21,5.250422577372761,89222.70917147057,1,0,0,High,4,1,0,1,0,0,0
14,2023-01-02,1157,9,0,382,254.21,4.966214437625735,54810.38960139629,1,0,0,High,0,5,0,1,0,0,0
16,2023-01-02,4023,9,0,88,139.4,4.966214437625735,12626.477185661972,1,0,0,High,0,5,0,1,0,0,0
17,2023-01-02,1109,11,0,113,139.4,3.4018416816450947,3392.1848807258884,0,0,0,High,4,1,0,1,0,0,0
18,2023-01-02,3938,11,0,126,164.5,3.4018416816450947,3782.436238685504,1,0,0,High,4,1,0,1,0,0,0
19,2023-01-02,4955,11,0,249,254.21,3.4018416816450947,7474.81447168802,1,0,0,High,4,1,0,1,0,0,0
20,2023-01-02,2988,11,0,244,244.0,3.4018416816450947,7324.717795549706,1,0,0,High,4,1,0,1,0,0,0
21,2023-01-02,4416,12,0,85,139.4,5.066048140357762,13476.455393020708,1,0,0,Mid,1,7,0,1,0,0,0
22,2023-01-02,4946,12,0,144,144.0,5.066048140357762,22830.70090111744,1,0,0,Mid,1,7,0,1,0,0,0
23,2023-01-02,3938,17,0,80,139.4,4.654685969545785,8406.09741479506,1,0,0,Mid,4,6,0,1,0,0,0
24,2023-01-02,3394,17,0,70,139.4,4.654685969545785,7355.335237945677,0,0,0,Mid,4,6,0,1,0,0,0
25,2023-01-02,2319,19,0,33,139.4,4.574328688741672,3199.776524348773,1,0,0,Mid,1,2,0,1,0,0,0
26,2023-01-03,653,5,0,870,254.21,4.875818800056916,114040.8517313266,1,0,0,High,1,2,0,0,0,1,0
27,2023-01-03,3649,5,0,207,207.0,4.875818800056916,27133.857825729432,1,0,0,High,1,2,0,0,0,1,0
28,2023-01-03,1816,5,0,97,139.4,4.875818800056916,12714.899560849057,1,0,0,High,1,2,0,0,0,1,0
29,2023-01-03,1513,5,1,28,139.4,4.875818800056916,3670.2802856059134,1,0,0,High,1,2,0,0,0,1,0
31,2023-01-03,4716,8,0,83,139.4,5.239852416528298,15657.307569338323,1,0,0,High,4,1,0,0,0,1,0
33,2023-01-03,3588,11,0,113,139.4,3.4018416816450947,3392.1848807258884,1,0,0,High,4,1,0,0,0,1,0
35,2023-01-03,4747,12,0,73,235.33,5.062358523685186,11531.272423813236,1,0,0,Mid,1,7,0,0,0,1,0
37,2023-01-03,4747,12,0,72,194.75,5.062358523685186,11373.309787870588,1,0,0,Mid,1,7,0,0,0,1,0
38,2023-01-03,4519,17,0,355,254.21,4.655327307536008,37325.988177676256,0,0,0,Mid,4,6,0,0,0,1,0
39,2023-01-03,182,17,0,511,254.21,4.655327307536008,53728.39425011991,1,0,0,Mid,4,6,0,0,0,1,0
41,2023-01-03,4526,19,0,258,254.21,4.574328688741672,25016.434644908582,1,0,0,Mid,1,2,0,0,0,1,0
42,2023-01-04,182,5,0,370,254.21,4.884978285126354,48946.40929705565,1,0,0,High,1,2,0,0,0,0,1
43,2023-01-04,4519,5,0,146,254.21,4.884978285126354,19313.98853343277,0,0,0,High,1,2,0,0,0,0,1
44,2023-01-04,74,5,0,466,254.21,4.884978285126354,61646.01819575117,1,0,0,High,1,2,0,0,0,0,1
45,2023-01-04,653,5,0,246,254.21,4.884978285126354,32542.74780290727,1,0,0,High,1,2,0,0,0,0,1
46,2023-01-04,1513,5,0,355,147.0,4.884978285126354,46962.09540663448,1,0,0,High,1,2,0,0,0,0,1
47,2023-01-04,193,5,0,409,254.21,4.884978285126354,54105.62541215071,1,0,0,High,1,2,0,0,0,0,1
48,2023-01-04,2352,5,0,288,254.21,4.884978285126354,38098.82669608656,1,0,0,High,1,2,0,0,0,0,1
49,2023-01-04,4747,5,1,218,197.33,4.884978285126354,28838.69520745441,1,0,0,High,1,2,0,0,0,0,1
50,2023-01-04,1094,5,0,823,254.21,4.884978285126354,108872.68878777511,1,0,0,High,1,2,0,0,0,0,1
51,2023-01-04,193,5,1,409,254.21,4.884978285126354,54105.62541215071,1,0,0,High,1,2,0,0,0,0,1
52,2023-01-04,193,5,0,200,254.21,4.884978285126354,26457.518538949,1,0,0,High,1,2,0,0,0,0,1
53,2023-01-04,3961,6,0,288,254.21,5.221396207868724,53335.46044011367,1,0,0,Mid,1,2,0,0,0,0,1
54,2023-01-04,4150,7,0,26,139.4,5.034148493118791,3992.788073463815,1,0,0,High,1,2,0,0,0,0,1
55,2023-01-04,4955,8,0,469,254.21,5.293580729617266,93356.75403221576,1,0,0,High,4,1,0,0,0,0,1
56,2023-01-04,193,8,0,88,254.21,5.293580729617266,17516.832313080995,1,0,0,High,4,1,0,0,0,0,1
57,2023-01-04,192,9,0,316,254.21,4.97309428051814,45653.54294641931,1,0,0,High,0,5,0,0,0,0,1
58,2023-01-04,3018,9,0,208,208.0,4.97309428051814,30050.433331820303,1,0,0,High,0,5,0,0,0,0,1
59,2023-01-04,4647,10,0,83,139.4,4.182685050493245,5439.952772517813,1,0,0,Mid,2,0,0,0,0,0,1
60,2023-01-04,4955,11,1,200,254.21,3.3441405101779016,5667.242102564001,1,0,0,High,4,1,0,0,0,0,1
61,2023-01-04,4747,11,0,409,218.5,3.3441405101779016,11589.510099743382,1,0,0,High,4,1,0,0,0,0,1
62,2023-01-04,4703,11,0,75,139.4,3.3441405101779016,2125.2157884615003,1,0,0,High,4,1,0,0,0,0,1
63,2023-01-04,2105,11,0,86,139.4,3.3441405101779016,2436.9141041025205,1,0,0,High,4,1,0,0,0,0,1
64,2023-01-04,3372,11,0,114,139.4,3.3441405101779016,3230.32799846148,1,0,0,High,4,1,0,0,0,0,1
65,2023-01-04,4747,12,1,18,200.27,5.056387416619365,2826.4002217892967,1,0,0,Mid,1,7,0,0,0,0,1
66,2023-01-04,3588,15,0,8,139.4,4.376585602219612,636.5271956175886,1,0,0,Low,1,4,0,0,0,0,1
67,2023-01-04,3938,17,0,257,166.5,4.6642335770732535,27263.65190472444,1,0,0,Mid,4,6,0,0,0,0,1
68,2023-01-04,1960,17,0,66,139.4,4.6642335770732535,7001.56041133001,1,0,0,Mid,4,6,0,0,0,0,1
69,2023-01-04,1712,17,0,52,139.4,4.6642335770732535,5516.380930138796,0,0,0,Mid,4,6,0,0,0,0,1
70,2023-01-04,1647,17,0,28,139.4,4.6642335770732535,2970.358962382428,0,0,0,Mid,4,6,0,0,0,0,1
71,2023-01-04,637,17,0,84,139.4,4.6642335770732535,8911.076887147285,1,0,0,Mid,4,6,0,0,0,0,1
72,2023-01-04,3588,18,0,48,139.4,4.543254185774792,4511.816832331611,1,0,0,Mid,1,2,0,0,0,0,1
73,2023-01-05,193,3,0,65,234.2,3.768321927889792,2814.9765151487272,1,0,0,Low,2,0,0,0,1,0,0
74,2023-01-05,3938,5,1,152,163.6,4.84838552265089,19385.21698512098,1,0,0,High,1,2,0,0,1,0,0
75,2023-01-05,4629,5,0,404,254.21,4.84838552265089,51523.86619729523,1,0,0,High,1,2,0,0,1,0,0
76,2023-01-05,1185,5,0,260,254.21,4.84838552265089,33158.923790338515,0,0,0,High,1,2,0,0,1,0,0
78,2023-01-05,3339,6,0,267,254.21,5.2418705062311215,50469.23211978431,1,0,0,Mid,1,2,0,0,1,0,0
79,2023-01-05,845,7,0,38,139.4,5.047564221832004,5914.429851918124,1,0,0,High,1,2,0,0,1,0,0
80,2023-01-05,4747,11,0,30,186.08,3.321675330501927,831.2018888036249,1,0,0,High,4,1,0,0,1,0,0
82,2023-01-05,3588,11,1,83,139.4,3.321675330501927,2299.658559023362,1,0,0,High,4,1,0,0,1,0,0
83,2023-01-05,4955,11,0,68,245.29,3.321675330501927,1884.0576146215496,1,0,0,High,4,1,0,0,1,0,0
84,2023-01-05,1494,11,0,498,254.21,3.321675330501927,13797.951354140172,1,0,0,High,4,1,0,0,1,0,0
85,2023-01-05,3498,11,0,125,139.4,3.321675330501927,3463.341203348437,1,0,0,High,4,1,0,0,1,0,0
86,2023-01-05,4747,11,0,240,190.23,3.321675330501927,6649.615110428999,1,0,0,High,4,1,0,0,1,0,0
87,2023-01-05,4519,12,0,353,254.21,5.041232131700329,54595.14228488053,0,0,0,Mid,1,7,0,0,1,0,0
88,2023-01-05,4747,17,0,86,182.79,4.6473824814385285,8970.796774458859,1,0,0,Mid,4,6,0,0,1,0,0
90,2023-01-05,3119,17,0,235,235.0,4.6473824814385285,24513.22374416084,1,0,0,Mid,4,6,0,0,1,0,0
91,2023-01-05,3938,17,0,191,168.17,4.6473824814385285,19923.51376653072,1,0,0,Mid,4,6,0,0,1,0,0
92,2023-01-05,1407,17,0,60,139.4,4.6473824814385285,6258.695424041063,1,0,0,Mid,4,6,0,0,1,0,0
94,2023-01-06,295,5,0,113,139.4,4.831163562194552,14165.311189236025,1,0,0,High,1,2,1,0,0,0,0
95,2023-01-06,4629,5,1,175,254.21,4.831163562194552,21937.428832887646,1,0,0,High,1,2,1,0,0,0,0
96,2023-01-06,4955,5,0,145,232.75,4.831163562194552,18176.72674724976,1,0,0,High,1,2,1,0,0,0,0
98,2023-01-06,1185,5,0,675,254.21,4.831163562194552,84615.79692685234,0,0,0,High,1,2,1,0,0,0,0
99,2023-01-06,2034,5,0,99,139.4,4.831163562194552,12410.316882605011,1,0,0,High,1,2,1,0,0,0,0
100,2023-01-06,4493,5,0,62,139.4,4.831163562194552,7772.1176436516225,1,0,0,High,1,2,1,0,0,0,0
101,2023-01-06,4716,8,1,83,139.4,5.3135416592184495,16854.65682468542,1,0,0,High,4,1,1,0,0,0,0
103,2023-01-06,4955,9,0,180,226.89,5.026624671341346,27435.183067190992,1,0,0,High,0,5,1,0,0,0,0
104,2023-01-06,1513,9,0,27,139.4,5.026624671341346,4115.277460078649,1,0,0,High,0,5,1,0,0,0,0
105,2023-01-06,4801,10,0,78,139.4,4.209750430340055,5252.499077190933,1,0,0,Mid,2,0,1,0,0,0,0
106,2023-01-06,474,11,0,192,192.0,3.3062747578470084,5238.393413753209,1,0,0,High,4,1,1,0,0,0,0
110,2023-01-06,1964,15,0,74,139.4,4.387554134862898,5952.813405625547,1,0,0,Low,1,4,1,0,0,0,0
111,2023-01-06,4747,17,0,390,198.35,4.697422819137289,42769.03157156604,1,0,0,Mid,4,6,1,0,0,0,0
112,2023-01-06,474,17,0,232,212.0,4.697422819137289,25442.09057590596,1,0,0,Mid,4,6,1,0,0,0,0
113,2023-01-06,4747,17,1,56,190.44,4.697422819137289,6141.194276942816,1,0,0,Mid,4,6,1,0,0,0,0
114,2023-01-06,2970,18,0,107,139.4,4.482589448946109,9465.588928393165,1,0,0,Mid,1,2,1,0,0,0,0
115,2023-01-06,1243,19,0,61,139.4,4.575780070851176,5923.329202069805,1,0,0,Mid,1,2,1,0,0,0,0
116,2023-01-09,2614,2,0,77,139.4,2.4262911897870536,871.3960769289055,1,0,0,Low,4,6,0,1,0,0,0
117,2023-01-09,4747,5,0,76,184.42,4.868417750220656,9888.730857093276,1,0,0,High,1,2,0,1,0,0,0
118,2023-01-09,4747,5,0,310,190.7,4.868417750220656,40335.61270656467,1,0,0,High,1,2,0,1,0,0,0
