Column Name,Original Value,Encoded Value,Encoded Column
stock_ticker,STK001,0.0,
stock_ticker,STK002,1.0,
stock_ticker,STK003,2.0,
stock_ticker,STK004,3.0,
stock_ticker,STK005,4.0,
stock_ticker,STK006,5.0,
stock_ticker,STK007,6.0,
stock_ticker,STK008,7.0,
stock_ticker,STK009,8.0,
stock_ticker,STK010,9.0,
stock_ticker,STK011,10.0,
stock_ticker,STK012,11.0,
stock_ticker,STK013,12.0,
stock_ticker,STK014,13.0,
stock_ticker,STK015,14.0,
stock_ticker,STK016,15.0,
stock_ticker,STK017,16.0,
stock_ticker,STK018,17.0,
stock_ticker,STK019,18.0,
stock_ticker,STK020,19.0,
transaction_type,BUY,0.0,
transaction_type,SELL,1.0,
customer_account_type,Institutional,0.0,
customer_account_type,Retail,1.0,
stock_sector,Consumer,0.0,
stock_sector,Energy,1.0,
stock_sector,Finance,2.0,
stock_sector,Healthcare,3.0,
stock_sector,Technology,4.0,
stock_industry,Asset Management,0.0,
stock_industry,Hardware,1.0,
stock_industry,Oil & Gas,2.0,
stock_industry,Pharmaceuticals,3.0,
stock_industry,Renewables,4.0,
stock_industry,Retail,5.0,
stock_industry,Software,6.0,
stock_industry,Utilities,7.0,
day_name,Friday,,day_Friday
day_name,Monday,,day_Monday
day_name,Thursday,,day_Thursday
day_name,Tuesday,,day_Tuesday
day_name,Wednesday,,day_Wednesday
is_weekend,False,0.0,
is_weekend,True,1.0,
is_holiday,False,0.0,
is_holiday,True,1.0,
