transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,cumulative_portfolio_value,average_trade_size_winsorized,cumulative_portfolio_value_log
1,2023-01-02,4747,STK002,BUY,15,15.0,2155.99,139.4,7.676469010309796
2,2023-01-02,4747,STK004,BUY,68,41.5,4993.03,139.4,8.515998478030326
3,2023-01-02,227,STK006,BUY,49,49.0,6694.05,139.4,8.809123726357281
4,2023-01-02,4747,STK006,BUY,503,195.33,73709.48,195.33,11.207900266168643
5,2023-01-02,3938,STK006,BUY,203,203.0,27732.49,203.0,10.230395987163696
6,2023-01-02,1513,STK006,BUY,114,114.0,15573.91,139.4,9.653416565147786
7,2023-01-02,4167,STK006,BUY,119,119.0,16256.97,139.4,9.696338529059398
8,2023-01-02,1513,STK006,BUY,91,102.5,28005.71,139.4,10.240199403304722
9,2023-01-02,4955,STK006,BUY,339,339.0,46311.88,254.21,10.743175387132986
10,2023-01-02,4747,STK006,SELL,285,217.75,34774.71,217.75,10.456674433549432
11,2023-01-02,4519,STK008,BUY,281,281.0,43441.81,254.21,10.679200639440202
12,2023-01-02,615,STK009,BUY,248,248.0,47280.41,248.0,10.763872473970329
13,2023-01-02,4747,STK009,BUY,468,267.8,123997.42,254.21,11.728024102570512
14,2023-01-02,1157,STK010,BUY,382,382.0,54810.39,254.21,10.911653298054299
15,2023-01-02,511,STK010,BUY,279,279.0,40031.67,254.21,10.597451149737294
16,2023-01-02,4023,STK010,BUY,88,88.0,12626.48,139.4,9.44363067049617
17,2023-01-02,1109,STK012,BUY,113,113.0,3392.18,139.4,8.129522813774985
18,2023-01-02,3938,STK012,BUY,126,164.5,31514.92,164.5,10.35824809396916
19,2023-01-02,4955,STK012,BUY,249,294.0,53786.7,254.21,10.892800095475987
20,2023-01-02,2988,STK012,BUY,244,244.0,7324.72,244.0,8.899146722570135
21,2023-01-02,4416,STK013,BUY,85,85.0,13476.46,139.4,9.50877393941194
22,2023-01-02,4946,STK013,BUY,144,144.0,22830.7,144.0,10.035905200176895
23,2023-01-02,3938,STK018,BUY,80,136.33,39921.02,139.4,10.594683330347607
24,2023-01-02,3394,STK018,BUY,70,70.0,7355.34,139.4,8.903317805428223
25,2023-01-02,2319,STK020,BUY,33,33.0,3199.78,139.4,8.071149809085613
26,2023-01-03,653,STK006,BUY,870,870.0,114040.85,254.21,11.64432076527314
27,2023-01-03,3649,STK006,BUY,207,207.0,27133.86,207.0,10.208574527095951
28,2023-01-03,1816,STK006,BUY,97,97.0,12714.9,139.4,9.45060845789156
29,2023-01-03,1513,STK006,SELL,28,77.67,23201.41,139.4,10.052011431569664
30,2023-01-03,2650,STK006,BUY,356,356.0,46664.99,254.21,10.750770912818206
31,2023-01-03,4716,STK009,BUY,83,83.0,15657.31,139.4,9.658757045458108
32,2023-01-03,3792,STK012,BUY,266,266.0,7814.79,254.21,8.963901325398515
33,2023-01-03,3588,STK012,BUY,113,113.0,3319.82,139.4,8.107967019365839
34,2023-01-03,4955,STK013,BUY,343,310.33,105933.14,254.21,11.570572859239759
35,2023-01-03,4747,STK013,BUY,73,235.33,133400.08,235.33,11.801115508382912
36,2023-01-03,4747,STK013,BUY,74,212.29,145089.32,212.29,11.885111724034902
37,2023-01-03,4747,STK013,BUY,72,194.75,156462.63,194.75,11.960578865788037
38,2023-01-03,4519,STK018,BUY,355,318.0,81231.08,254.21,11.305065522020254
39,2023-01-03,182,STK018,BUY,511,511.0,53728.39,254.21,10.891715430596816
40,2023-01-03,98,STK020,BUY,29,29.0,2796.69,139.4,7.936549355663508
41,2023-01-03,4526,STK020,BUY,258,258.0,24880.94,254.21,10.121897518089806
42,2023-01-04,182,STK006,BUY,370,440.5,103155.46,254.21,11.544002143780276
43,2023-01-04,4519,STK006,BUY,146,260.67,100126.72,254.21,11.514201850044117
44,2023-01-04,74,STK006,BUY,466,466.0,61646.02,254.21,11.029180170035717
45,2023-01-04,653,STK006,BUY,246,558.0,147632.95,254.21,11.902491178249583
46,2023-01-04,1513,STK006,BUY,355,147.0,70377.0,147.0,11.161635993307835
47,2023-01-04,193,STK006,BUY,409,409.0,54105.63,254.21,10.898712008157625
48,2023-01-04,2352,STK006,BUY,288,288.0,38098.83,254.21,10.54796509916258
49,2023-01-04,4747,STK006,SELL,218,197.33,132585.42,197.33,11.7949899382163
50,2023-01-04,1094,STK006,BUY,823,823.0,108872.69,254.21,11.59794368193546
51,2023-01-04,193,STK006,SELL,409,409.0,0.0,254.21,0.0
52,2023-01-04,193,STK006,BUY,200,339.33,26457.52,254.21,10.183333502620107
53,2023-01-04,3961,STK007,BUY,288,288.0,53335.46,254.21,10.884375428829475
54,2023-01-04,4150,STK008,BUY,26,26.0,3992.79,139.4,8.29249593372514
55,2023-01-04,4955,STK009,BUY,469,350.0,199116.59,254.21,12.20165083371391
56,2023-01-04,193,STK009,BUY,88,276.5,43974.35,254.21,10.691384528641738
57,2023-01-04,192,STK010,BUY,316,316.0,45653.54,254.21,10.728858333432932
58,2023-01-04,3018,STK010,BUY,208,208.0,30050.43,208.0,10.31066552618552
59,2023-01-04,4647,STK011,BUY,83,83.0,5439.95,139.4,8.601708956956475
60,2023-01-04,4955,STK012,SELL,200,320.0,193449.35,254.21,12.17277616938006
61,2023-01-04,4747,STK012,BUY,409,218.5,144174.93,218.5,11.878789568957
62,2023-01-04,4703,STK012,BUY,75,75.0,2125.22,139.4,7.662101034263091
63,2023-01-04,2105,STK012,BUY,86,86.0,2436.91,139.4,7.798896393855311
64,2023-01-04,3372,STK012,BUY,114,114.0,3230.33,139.4,8.080649096170763
65,2023-01-04,4747,STK013,SELL,18,200.27,141348.53,200.27,11.858991038036619
66,2023-01-04,3588,STK016,BUY,8,60.5,3838.52,139.4,8.253102637768622
67,2023-01-04,3938,STK018,BUY,257,166.5,66175.14,166.5,11.100075253996408
