transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,stock_price,total_trade_amount,customer_account_type,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_sector,stock_industry,day_Friday,day_Monday,day_Thursday,day_Tuesday,day_Wednesday,industry_Asset Management,industry_Hardware,industry_Oil & Gas,industry_Pharmaceuticals,industry_Renewables,industry_Retail,industry_Software,industry_Utilities
1,2023-01-02,4747,STK002,BUY,15,139.4,4.967956350196401,2155.992711157844,Retail,Monday,0,0,Low,Consumer,Retail,,,,,,,,,,,,,
2,2023-01-02,4747,STK004,BUY,68,139.4,3.731006681134751,2837.033906613808,Retail,Monday,0,0,Low,Finance,Asset Management,,,,,,,,,,,,,
3,2023-01-02,227,STK006,BUY,49,139.4,4.917153784174474,6694.048200413102,Retail,Monday,0,0,High,Energy,Oil & Gas,,,,,,,,,,,,,
5,2023-01-02,3938,STK006,BUY,203,203.0,4.917153784174474,27732.485401711423,Retail,Monday,0,0,High,Energy,Oil & Gas,,,,,,,,,,,,,
6,2023-01-02,1513,STK006,BUY,114,139.4,4.917153784174474,15573.908058103952,Retail,Monday,0,0,High,Energy,Oil & Gas,,,,,,,,,,,,,
7,2023-01-02,4167,STK006,BUY,119,139.4,4.917153784174474,16256.974201003248,Retail,Monday,0,0,High,Energy,Oil & Gas,,,,,,,,,,,,,
8,2023-01-02,1513,STK006,BUY,91,139.4,4.917153784174474,12431.80380076719,Retail,Monday,0,0,High,Energy,Oil & Gas,,,,,,,,,,,,,
9,2023-01-02,4955,STK006,BUY,339,254.21,4.917153784174474,46311.88448857228,Retail,Monday,0,0,High,Energy,Oil & Gas,,,,,,,,,,,,,
10,2023-01-02,4747,STK006,SELL,285,217.75,4.917153784174474,38934.77014525988,Retail,Monday,0,0,High,Energy,Oil & Gas,,,,,,,,,,,,,
11,2023-01-02,4519,STK008,BUY,281,254.21,5.040822896321057,43441.80762148931,Institutional,Monday,0,0,High,Energy,Oil & Gas,,,,,,,,,,,,,
