transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,cumulative_portfolio_value
1,2023-01-02,4747,STK002,BUY,15,15.0,2155.99
2,2023-01-02,4747,STK004,BUY,68,41.5,4993.03
3,2023-01-02,227,STK006,BUY,49,49.0,6694.05
4,2023-01-02,4747,STK006,BUY,503,195.33,73709.48
5,2023-01-02,3938,STK006,BUY,203,203.0,27732.49
6,2023-01-02,1513,STK006,BUY,114,114.0,15573.91
7,2023-01-02,4167,STK006,BUY,119,119.0,16256.97
8,2023-01-02,1513,STK006,BUY,91,102.5,28005.71
9,2023-01-02,4955,STK006,BUY,339,339.0,46311.88
10,2023-01-02,4747,STK006,SELL,285,217.75,34774.71
11,2023-01-02,4519,STK008,BUY,281,281.0,43441.81
12,2023-01-02,615,STK009,BUY,248,248.0,47280.41
13,2023-01-02,4747,STK009,BUY,468,267.8,123997.42
14,2023-01-02,1157,STK010,BUY,382,382.0,54810.39
15,2023-01-02,511,STK010,BUY,279,279.0,40031.67
16,2023-01-02,4023,STK010,BUY,88,88.0,12626.48
17,2023-01-02,1109,STK012,BUY,113,113.0,3392.18
18,2023-01-02,3938,STK012,BUY,126,164.5,31514.92
19,2023-01-02,4955,STK012,BUY,249,294.0,53786.7
20,2023-01-02,2988,STK012,BUY,244,244.0,7324.72
21,2023-01-02,4416,STK013,BUY,85,85.0,13476.46
22,2023-01-02,4946,STK013,BUY,144,144.0,22830.7
23,2023-01-02,3938,STK018,BUY,80,136.33,39921.02
24,2023-01-02,3394,STK018,BUY,70,70.0,7355.34
25,2023-01-02,2319,STK020,BUY,33,33.0,3199.78
26,2023-01-03,653,STK006,BUY,870,870.0,114040.85
27,2023-01-03,3649,STK006,BUY,207,207.0,27133.86
28,2023-01-03,1816,STK006,BUY,97,97.0,12714.9
29,2023-01-03,1513,STK006,SELL,28,77.67,23201.41
30,2023-01-03,2650,STK006,BUY,356,356.0,46664.99
31,2023-01-03,4716,STK009,BUY,83,83.0,15657.31
32,2023-01-03,3792,STK012,BUY,266,266.0,7814.79
33,2023-01-03,3588,STK012,BUY,113,113.0,3319.82
34,2023-01-03,4955,STK013,BUY,343,310.33,105933.14
35,2023-01-03,4747,STK013,BUY,73,235.33,133400.08
36,2023-01-03,4747,STK013,BUY,74,212.29,145089.32
37,2023-01-03,4747,STK013,BUY,72,194.75,156462.63
38,2023-01-03,4519,STK018,BUY,355,318.0,81231.08
39,2023-01-03,182,STK018,BUY,511,511.0,53728.39
40,2023-01-03,98,STK020,BUY,29,29.0,2796.69
41,2023-01-03,4526,STK020,BUY,258,258.0,24880.94
42,2023-01-04,182,STK006,BUY,370,440.5,103155.46
43,2023-01-04,4519,STK006,BUY,146,260.67,100126.72
44,2023-01-04,74,STK006,BUY,466,466.0,61646.02
45,2023-01-04,653,STK006,BUY,246,558.0,147632.95
46,2023-01-04,1513,STK006,BUY,355,147.0,70377.0
47,2023-01-04,193,STK006,BUY,409,409.0,54105.63
48,2023-01-04,2352,STK006,BUY,288,288.0,38098.83
49,2023-01-04,4747,STK006,SELL,218,197.33,132585.42
50,2023-01-04,1094,STK006,BUY,823,823.0,108872.69
51,2023-01-04,193,STK006,SELL,409,409.0,0.0
52,2023-01-04,193,STK006,BUY,200,339.33,26457.52
53,2023-01-04,3961,STK007,BUY,288,288.0,53335.46
54,2023-01-04,4150,STK008,BUY,26,26.0,3992.79
55,2023-01-04,4955,STK009,BUY,469,350.0,199116.59
56,2023-01-04,193,STK009,BUY,88,276.5,43974.35
57,2023-01-04,192,STK010,BUY,316,316.0,45653.54
58,2023-01-04,3018,STK010,BUY,208,208.0,30050.43
59,2023-01-04,4647,STK011,BUY,83,83.0,5439.95
60,2023-01-04,4955,STK012,SELL,200,320.0,193449.35
61,2023-01-04,4747,STK012,BUY,409,218.5,144174.93
62,2023-01-04,4703,STK012,BUY,75,75.0,2125.22
63,2023-01-04,2105,STK012,BUY,86,86.0,2436.91
64,2023-01-04,3372,STK012,BUY,114,114.0,3230.33
65,2023-01-04,4747,STK013,SELL,18,200.27,141348.53
66,2023-01-04,3588,STK016,BUY,8,60.5,3838.52
