transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,stock_price,total_trade_amount,customer_account_type,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_sector,stock_industry
9634,2024-11-13,1157,STK009,BUY,48,194.51,6.1995717382969415,23641.826915057605,Retail,Wednesday,False,True,High,Technology,Hardware
6218,2024-03-12,3498,STK010,SELL,62,175.2,5.547523276579613,15909.276752499038,Retail,Tuesday,False,False,High,Consumer,Retail
3,2023-01-02,227,STK006,BUY,49,139.4,4.917153784174474,6694.048200413102,Retail,Monday,False,False,High,Energy,Oil & Gas
7161,2024-05-20,4955,STK009,BUY,173,204.05,6.176552123198718,83270.00819931683,Retail,Monday,False,False,High,Technology,Hardware
239,2023-01-17,1513,STK010,BUY,96,139.4,5.02315675075223,14581.442567825387,Retail,Tuesday,False,False,High,Consumer,Retail
6668,2024-04-11,193,STK013,SELL,147,253.15,4.753349991047519,17047.90460047386,Retail,Thursday,False,False,Mid,Energy,Utilities
114,2023-01-06,2970,STK019,BUY,107,139.4,4.482589448946109,9465.588928393165,Retail,Friday,False,False,Mid,Energy,Oil & Gas
6115,2024-03-05,4335,STK010,BUY,223,223.0,5.555747446751803,57694.62063257231,Retail,Tuesday,False,False,High,Consumer,Retail
9092,2024-10-04,2093,STK009,BUY,915,254.21,6.1823412426152915,442973.5354670666,Retail,Friday,False,False,High,Technology,Hardware
3306,2023-08-29,3588,STK006,SELL,63,179.3,4.741924861506624,7223.245079444851,Retail,Tuesday,False,True,High,Energy,Oil & Gas
